id,title,description,contactName,updatedAt,dashboardUrl,dashboardType,views,isRestricted,thumbnailUrl,imageUrl,owner,ownerAbbr,category,tags,datasource,createdAt,contactEmail,contactPhone,accessLevel,isVideo,isFeatured
dash-001,Reauthorization Dashboard,The Reauthorization Dashboard displays FAA's progress in meeting the requirements of the FAA Reauthorization Act of 2018.  ,"Deer, Michael (FAA)",2021-06-03,https://tableau.faa.gov/#/site/_APL/workbooks/24822,Tableau,565,FALSE,/media/coming_soon.png,/media/coming_soon.png,Finance and Management,AFN,,"AFN, HR, Staffing, People",Place Holder,,place_holder@faa.gov,(202) 555-1234,,FALSE,TRUE
dash-002,DEV_Legislative Requirements Dashboard,DEV_Tracking FAA's legislative requirements,"McCann, Nathan (FAA)",2024-03-27,https://tableau.faa.gov/#/site/_APL/workbooks/38535,Tableau,245,FALSE,/media/coming_soon.png,/media/coming_soon.png,Finance and Management,AFN,,"AFN, Regulations",Place Holder,,place_holder@faa.gov,(202) 555-1234,,FALSE,FALSE
dash-003,Legislative Requirements Dashboard,Tracking FAA's legislative requirements,"McCann, Nathan (FAA)",2024-03-29,https://tableau.faa.gov/#/site/_APL/workbooks/39359,Tableau,19,FALSE,/media/coming_soon.png,/media/coming_soon.png,Finance and Management,AFN,,"AFN, Regulations",Place Holder,,place_holder@faa.gov,(202) 555-1234,,FALSE,FALSE
dash-004,Human Capital Snapshot,Human Capital Snapshot from FPPS OAS,"Comstock, Ian (FAA)",2025-07-23,https://tableau.faa.gov/#/site/_AHR/workbooks/5270,Tableau,49902,FALSE,/media/coming_soon.png,/media/coming_soon.png,Finance and Management,AFN,,"AFN, HR, Staffing, People",Place Holder,,place_holder@faa.gov,(202) 555-1234,,FALSE,FALSE
dash-005,Succession Planning,,"Comstock, Ian (FAA)",2025-07-21,https://tableau.faa.gov/#/site/_AHR/workbooks/17658,Tableau,396,FALSE,/media/coming_soon.png,/media/coming_soon.png,Finance and Management,AFN,,"AFN, HR, Staffing, People",Place Holder,,place_holder@faa.gov,(202) 555-1234,,FALSE,FALSE
dash-006,VPD's,CCMIS VPD's,SRVC-ARP-Alteryx (FAA),2023-11-28,https://tableau.faa.gov/#/site/_ARPreporting/workbooks/19062,Tableau,34,TRUE,/media/coming_soon.png,/media/coming_soon.png,Aviation Safety,AVS,,AVS,Place Holder,,place_holder@faa.gov,(202) 555-1234,,FALSE,FALSE
dash-007,Obligated Grants,Obligated Grants,SRVC-ARP-Alteryx (FAA),2023-11-28,https://tableau.faa.gov/#/site/_ARPreporting/workbooks/19058,Tableau,82,TRUE,/media/coming_soon.png,/media/coming_soon.png,Finance and Management,AFN,,"AFN, Budget",Place Holder,,place_holder@faa.gov,(202) 555-1234,,FALSE,FALSE
dash-008,CCMIS Discrepancies,CCMIS Letters of Discrepancy,SRVC-ARP-Alteryx (FAA),2023-11-28,https://tableau.faa.gov/#/site/_ARPreporting/workbooks/19060,Tableau,54,TRUE,/media/coming_soon.png,/media/coming_soon.png,Aviation Safety,AVS,,AVS,Place Holder,,place_holder@faa.gov,(202) 555-1234,,FALSE,FALSE
dash-009,Obligated Grants,Obligated Grants,SRVC-ARP-Alteryx (FAA),2025-07-25,https://tableau.faa.gov/#/site/_ARPreporting/workbooks/11474,Tableau,324,TRUE,/media/coming_soon.png,/media/coming_soon.png,Finance and Management,AFN,,"AFN, Budget",Place Holder,,place_holder@faa.gov,(202) 555-1234,,FALSE,FALSE
dash-010,PFC Overview,Overview Dashboard of the PFC Program,"Ludwig, Matthew A (FAA)",2025-07-15,https://tableau.faa.gov/#/site/_ARPreporting/workbooks/11098,Tableau,2098,TRUE,/media/coming_soon.png,/media/coming_soon.png,Airports,ARP,,ARP,Place Holder,,place_holder@faa.gov,(202) 555-1234,,FALSE,FALSE
