Title,Dashboard Description,Dashboard POC,Last Updated,Dashboard Link,Dashboard Type,Views,Dashboard Access
Reauthorization Dashboard,"The Reauthorization Dashboard displays FAA?s progress in meeting the requirements of the FAA Reauthorization Act of 2018.  It includes the completion status of the more than 300 FAA-led deliverables, including Reports to Congress, rulemakings, studies, wo","Deer, Michael (FAA)",6/3/2021,https://tableau.faa.gov/#/site/_APL/workbooks/24822,Tableau,565,Open
DEV_Legislative Requirements Dashboard,DEV_Tracking FAA's legislative requirements,"McCann, Nathan (FAA)",3/27/2024,https://tableau.faa.gov/#/site/_APL/workbooks/38535,Tableau,245,Open
Legislative Requirements Dashboard,Tracking FAA's legislative requirements,"McCann, Nathan (FAA)",3/29/2024,https://tableau.faa.gov/#/site/_APL/workbooks/39359,Tableau,19,Open
Human Capital Snapshot,Human Capital Snapshot from FPPS OAS,"Comstock, Ian (FAA)",7/23/2025,https://tableau.faa.gov/#/site/_AHR/workbooks/5270,Tableau,49902,Open
Succession Planning,,"Comstock, Ian (FAA)",7/21/2025,https://tableau.faa.gov/#/site/_AHR/workbooks/17658,Tableau,396,Open
VPD's,CCMIS VPD's,SRVC-ARP-Alteryx (FAA),11/28/2023,https://tableau.faa.gov/#/site/_ARPreporting/workbooks/19062,Tableau,34,Restricted
Obligated Grants,Obligated Grants,SRVC-ARP-Alteryx (FAA),11/28/2023,https://tableau.faa.gov/#/site/_ARPreporting/workbooks/19058,Tableau,82,Restricted
CCMIS Discrepancies,CCMIS Letters of Discrepancy,SRVC-ARP-Alteryx (FAA),11/28/2023,https://tableau.faa.gov/#/site/_ARPreporting/workbooks/19060,Tableau,54,Restricted
Obligated Grants,Obligated Grants,SRVC-ARP-Alteryx (FAA),7/25/2025,https://tableau.faa.gov/#/site/_ARPreporting/workbooks/11474,Tableau,324,Restricted
PFC Overview,Overview Dashboard of the PFC Program,"Ludwig, Matthew A (FAA)",7/15/2025,https://tableau.faa.gov/#/site/_ARPreporting/workbooks/11098,Tableau,2098,Restricted
PFC Streamlining,Monitoring Dashboard of the PFC Program,"Ludwig, Matthew A (FAA)",7/25/2025,https://tableau.faa.gov/#/site/_ARPreporting/workbooks/20636,Tableau,760,Restricted
State Block Grants,State Block  Grant Funds Remaining,SRVC-ARP-Alteryx (FAA),11/28/2023,https://tableau.faa.gov/#/site/_ARPreporting/workbooks/19059,Tableau,2,Restricted
ARP Org Chart,Org Chart of ARP Personnel,SRVC-ARP-Alteryx (FAA),11/28/2023,https://tableau.faa.gov/#/site/_ARPreporting/workbooks/23191,Tableau,640,Restricted
PFC Overview,Overview of the PFC Program,SRVC-ARP-Alteryx (FAA),4/12/2025,https://tableau.faa.gov/#/site/_ARPreporting/workbooks/19041,Tableau,57,Restricted
Software Inventory,List of Software installed on ARP computers,SRVC-ARP-Alteryx (FAA),11/28/2023,https://tableau.faa.gov/#/site/_ARPreporting/workbooks/23138,Tableau,224,Restricted
Directory Monitoring Dashboard,,SRVC-ARP-Alteryx (FAA),11/28/2023,https://tableau.faa.gov/#/site/_ARPreporting/workbooks/23171,Tableau,334,Restricted
PFC Monitoring,Monitoring Dashboard of the PFC Program,"Ludwig, Matthew A (FAA)",7/25/2025,https://tableau.faa.gov/#/site/_ARPreporting/workbooks/11099,Tableau,7432,Restricted
Dashboard,AIRportal Homepage,SRVC-ARP-Alteryx (FAA),11/28/2023,https://tableau.faa.gov/#/site/_ARPreporting/workbooks/19025,Tableau,4245,Restricted
ICAO Influence,2020 GLIDE ICAO influence information.,"DiVona, Kathryn A (FAA)",1/19/2023,https://tableau.faa.gov/#/site/_FAAGLIDE/workbooks/22360,Tableau,0,Restricted
FAA_GLIDE_FAAGlobalFootprint_2017_Guest.07.24,FAA global presence acronyms and definitions.,"DiVona, Kathryn A (FAA)",1/19/2023,https://tableau.faa.gov/#/site/_FAAGLIDE/workbooks/10617,Tableau,0,Open
ICAO Influence,"ICAO acronyms, definitions and references.","DiVona, Kathryn A (FAA)",1/19/2023,https://tableau.faa.gov/#/site/_FAAGLIDE/workbooks/3046,Tableau,516,Open
2019 Aviation and the Environment,Data definitions for Aviation and Environment,"DiVona, Kathryn A (FAA)",1/19/2023,https://tableau.faa.gov/#/site/_FAAGLIDE/workbooks/15581,Tableau,4,Restricted
FAA GLIDE Tableau Homepage,Global Leadership Initiative Data Environment,"DiVona, Kathryn A (FAA)",11/10/2022,https://tableau.faa.gov/#/site/_FAAGLIDE/workbooks/9150,Tableau,5729,Open
Aviation Safety,2020 GLIDE acronyms and definitions.,"DiVona, Kathryn A (FAA)",1/19/2023,https://tableau.faa.gov/#/site/_FAAGLIDE/workbooks/22352,Tableau,1,Restricted
2019 FAA Global Footprint,FAA presence across the globe.,"DiVona, Kathryn A (FAA)",1/19/2023,https://tableau.faa.gov/#/site/_FAAGLIDE/workbooks/15592,Tableau,1,Restricted
Aviation and the Environment,2020 GLIDE data definition for Aviation and the Environment.,"DiVona, Kathryn A (FAA)",1/19/2023,https://tableau.faa.gov/#/site/_FAAGLIDE/workbooks/22357,Tableau,1,Restricted
GLIDE Regional Groups,FAA regional grouping of countries.,"DiVona, Kathryn A (FAA)",1/19/2023,https://tableau.faa.gov/#/site/_FAAGLIDE/workbooks/8802,Tableau,46,Open
GLIDE Corporate Dataset Guest,GLIDE corporate dataset open to guest users,"DiVona, Kathryn A (FAA)",1/19/2023,https://tableau.faa.gov/#/site/_FAAGLIDE/workbooks/4093,Tableau,482,Open
Aviation and the Environment,Aviation and environment acronyms and definitions.,"DiVona, Kathryn A (FAA)",1/19/2023,https://tableau.faa.gov/#/site/_FAAGLIDE/workbooks/3278,Tableau,219,Open
FAA Global Footprint (Guest),2020 GLIDE FAA presence around the globe.,"DiVona, Kathryn A (FAA)",1/19/2023,https://tableau.faa.gov/#/site/_FAAGLIDE/workbooks/22361,Tableau,0,Restricted
FAA GLIDE Tableau Homepage,2020 GLIDE home page,"DiVona, Kathryn A (FAA)",1/19/2023,https://tableau.faa.gov/#/site/_FAAGLIDE/workbooks/22350,Tableau,0,Restricted
International Trend And Data Analysis,ICOI USOAP Charts for data document.,"DiVona, Kathryn A (FAA)",1/19/2023,https://tableau.faa.gov/#/site/_FAAGLIDE/workbooks/27183,Tableau,36,Open
FlightAware Data,APC analysis of global traffic utilizing Flight Aware data.,"DiVona, Kathryn A (FAA)",1/19/2023,https://tableau.faa.gov/#/site/_FAAGLIDE/workbooks/4398,Tableau,93,Open
Aviation Safety,Aviation safety acronyms and definitions.,"DiVona, Kathryn A (FAA)",1/19/2023,https://tableau.faa.gov/#/site/_FAAGLIDE/workbooks/3048,Tableau,477,Open
Country Profile Data Sheet,2020 GLIDE country profile data sheets.,"DiVona, Kathryn A (FAA)",1/19/2023,https://tableau.faa.gov/#/site/_FAAGLIDE/workbooks/22354,Tableau,0,Restricted
